epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2441,1.77137,5.60667,1.12083,0.00019,0.05714,0.00011,4e-05,1.70706,5.46971,1.16869,4e-05,4e-05,4e-05
2,19.715,1.75969,5.04071,1.08208,0.00181,0.54286,0.00206,0.00062,1.57482,5.11122,1.03512,9.802e-05,9.802e-05,9.802e-05
3,28.9232,1.45151,4.58215,0.9368,0.00305,0.91429,0.00637,0.00299,1.61743,4.9529,0.98416,0.000153664,0.000153664,0.000153664
4,38.0245,1.53978,3.75555,0.9253,0.00333,1,0.00746,0.00412,1.48884,4.82723,0.94046,0.000206932,0.000206932,0.000206932
5,47.5842,1.50063,2.84913,0.9514,0.00333,1,0.007,0.00415,1.39236,4.65777,0.92874,0.000257824,0.000257824,0.000257824
6,57.1601,1.45426,2.97853,0.98087,0.00333,1,0.00632,0.00344,1.3857,4.63233,0.92836,0.00030634,0.00030634,0.00030634
7,66.477,1.61195,3.00483,1.04995,0.00324,0.97143,0.00547,0.00289,1.40197,4.67892,0.94056,0.00035248,0.00035248,0.00035248
8,75.4772,1.3781,3.00065,0.97617,0.00333,1,0.00542,0.00269,1.51754,4.73947,0.9539,0.000396244,0.000396244,0.000396244
9,84.5137,1.41341,2.43439,0.96905,0.00324,0.97143,0.00481,0.00236,1.53977,4.78567,0.97626,0.000437632,0.000437632,0.000437632
10,93.4625,1.38074,2.12828,1.03951,0.00333,1,0.00494,0.00243,1.40454,4.6123,0.95709,0.000476644,0.000476644,0.000476644
11,102.409,1.29655,2.20912,0.98507,0.00333,1,0.00412,0.0021,1.3047,4.4553,0.93108,0.00051328,0.00051328,0.00051328
12,111.453,1.47882,2.5931,0.93958,0.00324,0.97143,0.00398,0.00192,1.3612,4.54798,0.94787,0.00054754,0.00054754,0.00054754
13,120.446,1.45039,2.17219,1.00579,0.00305,0.91429,0.0036,0.00162,1.42796,4.83164,0.95651,0.000579424,0.000579424,0.000579424
14,129.613,1.32043,2.02775,0.97549,0.00295,0.88571,0.00345,0.00154,1.47685,4.41329,0.96703,0.000608932,0.000608932,0.000608932
15,138.604,1.42917,2.18857,1.00991,0.00219,0.65714,0.00193,0.00082,1.47235,4.47544,0.98003,0.000636064,0.000636064,0.000636064
16,147.791,1.33315,2.11632,0.94701,0.0019,0.57143,0.00159,0.00072,1.39502,4.36422,0.96773,0.00066082,0.00066082,0.00066082
17,156.756,1.24424,1.74951,0.96159,0.0021,0.62857,0.00173,0.00095,1.30369,4.10994,0.94972,0.0006832,0.0006832,0.0006832
18,165.934,1.55885,2.24086,1.04627,0.0021,0.62857,0.00175,0.00098,1.40156,4.15391,0.96597,0.000703204,0.000703204,0.000703204
19,175.023,1.43386,1.75904,1.01368,0.0021,0.62857,0.00187,0.00104,1.48865,4.1366,0.99341,0.000720832,0.000720832,0.000720832
20,184.046,1.25663,2.89289,1.00808,0.00305,0.91429,0.00358,0.00231,1.41184,4.00352,0.96873,0.000736084,0.000736084,0.000736084
21,193.154,1.50085,2.38614,1.03628,0.00333,1,0.0063,0.0041,1.2901,3.78115,0.94839,0.00074896,0.00074896,0.00074896
22,202.13,1.46041,2.05093,0.95084,0.00333,1,0.39297,0.24497,1.29708,3.52448,0.94977,0.00075946,0.00075946,0.00075946
23,211.636,1.30431,1.67429,0.97447,0.00333,1,0.29151,0.17925,1.46767,3.68685,1.00928,0.000767584,0.000767584,0.000767584
24,220.926,1.3534,1.73051,0.97107,0.00333,1,0.25175,0.14997,1.42756,3.67701,0.98878,0.000773332,0.000773332,0.000773332
25,229.785,1.39202,1.93156,1.01813,0.00333,1,0.22391,0.14719,1.25933,3.51348,0.93383,0.000776704,0.000776704,0.000776704
26,238.88,1.13364,1.70252,0.9311,0.48068,0.68571,0.49391,0.33283,1.26921,3.17846,0.93254,0.0007777,0.0007777,0.0007777
27,248.106,1.21801,1.62948,0.93031,0.14361,0.31429,0.315,0.20487,1.4239,4.69147,0.97656,0.00077632,0.00077632,0.00077632
28,257.279,1.2284,1.66694,1.02379,0.21966,0.52285,0.31899,0.20159,1.5262,4.62344,1.01917,0.000772564,0.000772564,0.000772564
29,266.349,1.30235,1.51604,0.96705,0.21966,0.52285,0.31899,0.20159,1.5262,4.62344,1.01917,0.000766432,0.000766432,0.000766432
30,275.597,1.19776,1.57369,0.97334,0.48536,0.54286,0.57145,0.36734,1.46437,2.94813,1.00893,0.000757924,0.000757924,0.000757924
31,285.022,1.20537,1.41921,0.9366,1,0.77883,0.99306,0.64862,1.34932,2.62154,0.96298,0.00074704,0.00074704,0.00074704
32,294.016,1.03641,1.79788,0.85322,0.9951,0.97143,0.99444,0.64728,1.29234,2.39796,0.93845,0.00073378,0.00073378,0.00073378
33,302.157,0.73504,5.80123,0.6061,0.9951,0.97143,0.99444,0.64728,1.29234,2.39796,0.93845,0.000718144,0.000718144,0.000718144
34,311.331,1.23518,1.5155,0.90202,0.9763,0.85714,0.98742,0.67475,1.21393,2.43642,0.91802,0.0006932,0.0006932,0.0006932
35,320.258,1.29277,1.80452,0.97915,0.87335,0.78827,0.93444,0.64295,1.17084,2.45544,0.90829,0.0006536,0.0006536,0.0006536
36,329.509,1.16486,1.57766,0.94849,1,0.94984,0.995,0.69558,1.13352,2.29999,0.90828,0.000614,0.000614,0.000614
37,338.578,1.20895,1.58696,0.9352,1,0.94984,0.995,0.69558,1.13352,2.29999,0.90828,0.0005744,0.0005744,0.0005744
38,347.619,1.23582,1.35243,0.9026,0.98854,1,0.995,0.68696,1.13919,1.9759,0.91634,0.0005348,0.0005348,0.0005348
39,356.633,1.17539,1.53857,0.94744,0.99423,1,0.995,0.70032,1.11893,1.73364,0.90993,0.0004952,0.0004952,0.0004952
40,366.34,1.12943,1.48242,0.91823,0.99626,1,0.995,0.71437,1.07824,1.63961,0.89754,0.0004556,0.0004556,0.0004556
41,375.28,0.85958,6.18472,0.63155,0.99626,1,0.995,0.71437,1.07824,1.63961,0.89754,0.000416,0.000416,0.000416
42,383.989,1.33439,2.738,0.92465,0.99464,1,0.995,0.72362,1.09422,1.65266,0.89822,0.0003764,0.0003764,0.0003764
43,393.141,1.10924,3.27951,0.83179,0.99097,1,0.995,0.72696,1.10996,1.68678,0.90192,0.0003368,0.0003368,0.0003368
44,401.201,1.21415,2.17138,1.00492,0.98883,1,0.995,0.72314,1.14307,1.6968,0.91182,0.0002972,0.0002972,0.0002972
45,408.638,0.76033,5.38675,0.58342,0.98883,1,0.995,0.72314,1.14307,1.6968,0.91182,0.0002576,0.0002576,0.0002576
46,417.363,1.05495,2.35687,0.86396,0.99117,1,0.995,0.71431,1.16262,1.65624,0.92038,0.000218,0.000218,0.000218
47,426.66,1.08118,2.09299,0.98559,0.99266,1,0.995,0.7176,1.17708,1.59536,0.92499,0.0001784,0.0001784,0.0001784
48,435.778,1.01855,2.17545,0.87867,0.99114,1,0.995,0.72213,1.19149,1.55682,0.92975,0.0001388,0.0001388,0.0001388
49,444.962,1.08645,1.7717,0.89179,0.99114,1,0.995,0.72213,1.19149,1.55682,0.92975,9.92e-05,9.92e-05,9.92e-05
50,454.014,0.66487,5.32081,0.56969,0.99318,1,0.995,0.72311,1.18523,1.50507,0.92783,5.96e-05,5.96e-05,5.96e-05
